seed,treatment,alpha_fijo,mae_fijo,accuracy_fijo,alpha_calibrado,mae_calibrado,accuracy_calibrado,iteraciones,vocabulario,modelo_embeddings,dimension
16,tfidf,0.01,0.4897046387195587,0.5159924626350403,0.17756131970195013,0.48757100105285645,0.5489181280136108,500,6547.0,,
16,embeddings,0.01,0.5006042122840881,0.5126999020576477,0.1648549429448349,0.49275442957878113,0.528692364692688,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
17,tfidf,0.01,0.48252883553504944,0.527751624584198,0.9083176489965524,0.476232647895813,0.5837252736091614,500,6579.0,,
17,embeddings,0.01,0.49612337350845337,0.5070555210113525,0.8438643619169053,0.46094635128974915,0.6190028190612793,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
18,tfidf,0.01,0.4894634783267975,0.5047036409378052,1.7102890001979365,0.47925400733947754,0.5682032108306885,500,6557.0,,
18,embeddings,0.01,0.5008244514465332,0.499529629945755,1.5885674708348394,0.4574000835418701,0.6284101605415344,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
19,tfidf,0.01,0.48571282625198364,0.5131702423095703,0.7603487867815457,0.47963395714759827,0.5700846314430237,500,6591.0,,
19,embeddings,0.01,0.49979910254478455,0.5126999020576477,0.706284772099605,0.46998998522758484,0.599247395992279,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
20,tfidf,0.01,0.4884718060493469,0.5047036409378052,1.9516630496712803,0.47655877470970154,0.5893697142601013,500,6553.0,,
20,embeddings,0.01,0.500715434551239,0.4891815483570099,1.8138086999120941,0.453644335269928,0.6373471021652222,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
21,tfidf,0.01,0.48602914810180664,0.5150517225265503,0.5756754371316165,0.48119035363197327,0.5625587701797485,500,6598.0,,
21,embeddings,0.01,0.4999321401119232,0.5037629008293152,0.5351099148856319,0.4774744510650635,0.560206949710846,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
22,tfidf,0.01,0.4861558675765991,0.50282222032547,1.495644019889834,0.4745591878890991,0.6015992164611816,500,6571.0,,
22,embeddings,0.01,0.4954007565975189,0.5094073414802551,1.3894879761313015,0.4502006471157074,0.6519284844398499,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
23,tfidf,0.01,0.48705199360847473,0.5206961631774902,2.74276042604701,0.47568193078041077,0.5752586722373962,500,6568.0,,
23,embeddings,0.01,0.49233701825141907,0.5103480815887451,2.5502006078610724,0.4402383863925934,0.6702728271484375,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
24,tfidf,0.01,0.4831106662750244,0.5103480815887451,3.9523765541112224,0.4682021141052246,0.5954844951629639,500,6528.0,,
24,embeddings,0.01,0.49462753534317017,0.5253998041152954,3.672311831811636,0.4320437014102936,0.6650987863540649,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
25,tfidf,0.01,0.48737043142318726,0.5202257633209229,1.6130698290854004,0.47863033413887024,0.5804327130317688,500,6559.0,,
25,embeddings,0.01,0.4996372163295746,0.5,1.4978426463063486,0.4529016315937042,0.6373471021652222,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
26,tfidf,0.01,0.4861449599266052,0.525870144367218,1.6178144013162978,0.4763683080673218,0.5809031128883362,500,6549.0,,
26,embeddings,0.01,0.4955867528915405,0.5089369416236877,1.5025893667111239,0.45066744089126587,0.6396989822387695,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
27,tfidf,0.01,0.48592114448547363,0.5272812843322754,1.5896537724173547,0.47645843029022217,0.5691439509391785,500,6591.0,,
27,embeddings,0.01,0.5017765164375305,0.49905925989151,1.477527476407148,0.45374932885169983,0.635465681552887,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
28,tfidf,0.01,0.4866108000278473,0.5206961631774902,0.8733990185766343,0.4798929691314697,0.5710253715515137,500,6613.0,,
28,embeddings,0.01,0.5003032088279724,0.499529629945755,0.8116891916982834,0.46945375204086304,0.5884289741516113,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
29,tfidf,0.01,0.4872364103794098,0.5070555210113525,1.543727893289469,0.4765909016132355,0.5860771536827087,500,6612.0,,
29,embeddings,0.01,0.4934028089046478,0.5164628624916077,1.4342096340734813,0.4481376111507416,0.6561617851257324,500,,sentence-transformers/distiluse-base-multilingual-cased-v1,512.0
